,NaN,1,0,Prob
10x10bet,548.0,376.0,156.0,0.706766917293233
1xBet,200.0,589.0,291.0,0.6693181818181818
Coolbet,,715.0,365.0,0.6620370370370371
Curebet,809.0,194.0,77.0,0.7158671586715867
GGBET,,710.0,370.0,0.6574074074074074
Lasbet,809.0,194.0,77.0,0.7158671586715867
Marathonbet,,710.0,370.0,0.6574074074074074
Pinnacle,,712.0,368.0,0.6592592592592592
Unibet,,711.0,369.0,0.6583333333333333
William Hill,,705.0,375.0,0.6527777777777778
bet-at-home,1.0,715.0,364.0,0.6626506024096386
bet365,,707.0,373.0,0.6546296296296297
bwin,,708.0,372.0,0.6555555555555556
