"('probCut', '1xBet (%)')","('colWin', 'win')",1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
"(0, 10]",-1,100.0,,100.0,83.33333333333333,85.71428571428571,87.5,66.66666666666667,83.33333333333333,66.66666666666667
"(0, 10]",1,0.0,,0.0,16.666666666666668,14.285714285714286,12.5,33.333333333333336,16.666666666666668,33.333333333333336
"(10, 20]",-1,68.96551724137932,50.0,71.875,73.52941176470588,68.96551724137932,67.85714285714286,74.19354838709677,70.96774193548387,75.67567567567568
"(10, 20]",1,31.03448275862069,50.0,28.125,26.470588235294116,31.03448275862069,32.142857142857146,25.806451612903224,29.032258064516128,24.324324324324323
"(20, 30]",-1,78.87323943661971,80.0,79.1044776119403,76.5625,80.35714285714286,75.0,80.3921568627451,78.94736842105263,80.76923076923077
"(20, 30]",1,21.12676056338028,20.0,20.895522388059703,23.4375,19.642857142857142,25.0,19.607843137254903,21.05263157894737,19.23076923076923
"(30, 40]",-1,56.19834710743802,50.0,57.142857142857146,59.48275862068966,61.06194690265487,60.833333333333336,62.72727272727273,60.0,60.317460317460316
"(30, 40]",1,43.80165289256198,50.0,42.857142857142854,40.51724137931034,38.93805309734513,39.166666666666664,37.27272727272727,40.0,39.682539682539684
"(40, 50]",-1,57.06214689265537,66.66666666666667,57.30337078651685,56.64739884393064,56.666666666666664,57.142857142857146,55.42168674698795,59.036144578313255,55.367231638418076
"(40, 50]",1,42.93785310734463,33.333333333333336,42.69662921348315,43.35260115606936,43.333333333333336,42.857142857142854,44.57831325301205,40.963855421686745,44.632768361581924
"(50, 60]",-1,42.931937172774866,28.571428571428573,43.02325581395349,43.292682926829265,43.604651162790695,42.94117647058823,46.540880503144656,43.506493506493506,45.32374100719424
"(50, 60]",1,57.068062827225134,71.42857142857143,56.97674418604651,56.707317073170735,56.395348837209305,57.05882352941177,53.459119496855344,56.493506493506494,54.67625899280576
"(60, 70]",-1,39.7489539748954,50.0,39.59183673469388,40.48582995951417,42.22222222222222,42.131979695431475,42.10526315789474,40.94827586206897,42.241379310344826
"(60, 70]",1,60.2510460251046,50.0,60.40816326530612,59.51417004048583,57.77777777777778,57.868020304568525,57.89473684210526,59.05172413793103,57.758620689655174
"(70, 80]",-1,27.979274611398964,36.36363636363637,28.0,30.5,29.302325581395348,30.434782608695652,29.107981220657276,31.08108108108108,29.565217391304348
"(70, 80]",1,72.02072538860104,63.63636363636363,72.0,69.5,70.69767441860465,69.56521739130434,70.89201877934272,68.91891891891892,70.43478260869566
"(80, 90]",-1,18.939393939393938,20.0,17.16417910447761,19.083969465648856,19.565217391304348,21.428571428571427,24.62686567164179,19.834710743801654,21.53846153846154
"(80, 90]",1,81.06060606060606,80.0,82.83582089552239,80.91603053435115,80.43478260869566,78.57142857142857,75.3731343283582,80.16528925619835,78.46153846153847
"(90, 100]",-1,9.58904109589041,20.0,11.11111111111111,9.473684210526315,10.638297872340425,11.11111111111111,10.256410256410257,10.434782608695652,8.653846153846153
"(90, 100]",1,90.41095890410959,80.0,88.88888888888889,90.52631578947368,89.36170212765957,88.88888888888889,89.74358974358974,89.56521739130434,91.34615384615384
