"('probCut', '10x10bet (%)')","('colWin', 'win')",10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
"(0, 10]",-1,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,,100.0,
"(0, 10]",1,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
"(10, 20]",-1,80.0,74.28571428571429,77.5,89.47368421052632,75.0,84.21052631578948,77.27272727272727,79.06976744186046,76.3157894736842,79.16666666666667,77.77777777777777,79.54545454545455,76.47058823529412
"(10, 20]",1,20.0,25.714285714285715,22.5,10.526315789473685,25.0,15.789473684210526,22.727272727272727,20.930232558139537,23.68421052631579,20.833333333333332,22.22222222222222,20.454545454545453,23.529411764705884
"(20, 30]",-1,74.50980392156863,71.62162162162163,70.93023255813954,76.92307692307692,73.40425531914893,77.77777777777777,68.88888888888889,68.88888888888889,72.61904761904762,69.41176470588235,71.25,70.37037037037037,74.11764705882354
"(20, 30]",1,25.49019607843137,28.37837837837838,29.069767441860463,23.076923076923077,26.595744680851062,22.22222222222222,31.11111111111111,31.11111111111111,27.38095238095238,30.58823529411765,28.75,29.62962962962963,25.88235294117647
"(30, 40]",-1,60.65573770491803,60.869565217391305,58.13953488372093,48.648648648648646,60.60606060606061,51.351351351351354,61.971830985915496,59.859154929577464,61.15702479338843,59.3984962406015,62.39316239316239,59.333333333333336,61.029411764705884
"(30, 40]",1,39.34426229508197,39.130434782608695,41.86046511627907,51.351351351351354,39.39393939393939,48.648648648648646,38.028169014084504,40.140845070422536,38.84297520661157,40.6015037593985,37.60683760683761,40.666666666666664,38.970588235294116
"(40, 50]",-1,65.85365853658537,60.563380281690144,62.14689265536723,64.70588235294117,59.32203389830509,66.66666666666667,59.887005649717516,61.714285714285715,60.73298429319372,62.5,59.65909090909091,62.65060240963855,59.895833333333336
"(40, 50]",1,34.146341463414636,39.436619718309856,37.85310734463277,35.294117647058826,40.67796610169491,33.333333333333336,40.112994350282484,38.285714285714285,39.26701570680628,37.5,40.34090909090909,37.34939759036145,40.104166666666664
"(50, 60]",-1,48.57142857142857,43.35664335664335,46.15384615384615,38.23529411764706,48.795180722891565,34.375,44.84848484848485,45.3416149068323,44.88636363636363,45.88235294117647,48.170731707317074,44.370860927152314,46.012269938650306
"(50, 60]",1,51.42857142857143,56.64335664335665,53.84615384615385,61.76470588235294,51.204819277108435,65.625,55.15151515151515,54.6583850931677,55.11363636363637,54.11764705882353,51.829268292682926,55.629139072847686,53.987730061349694
"(60, 70]",-1,31.57894736842105,32.666666666666664,36.0655737704918,31.11111111111111,37.714285714285715,28.88888888888889,35.19553072625698,35.26011560693642,38.372093023255815,33.53658536585366,38.17204301075269,36.612021857923494,36.58536585365854
"(60, 70]",1,68.42105263157895,67.33333333333333,63.9344262295082,68.88888888888889,62.285714285714285,71.11111111111111,64.80446927374301,64.73988439306359,61.627906976744185,66.46341463414635,61.82795698924731,63.387978142076506,63.41463414634146
"(70, 80]",-1,21.91780821917808,26.050420168067227,31.736526946107784,17.647058823529413,30.508474576271187,17.142857142857142,30.434782608695652,31.213872832369944,30.061349693251532,31.57894736842105,31.333333333333332,32.0,29.032258064516128
"(70, 80]",1,78.08219178082192,73.94957983193277,68.26347305389221,82.3529411764706,69.49152542372882,82.85714285714286,69.56521739130434,68.78612716763006,69.93865030674847,68.42105263157895,68.66666666666667,68.0,70.96774193548387
"(80, 90]",-1,19.565217391304348,18.055555555555557,16.666666666666668,20.0,16.666666666666668,23.076923076923077,15.957446808510639,15.555555555555555,17.821782178217823,19.767441860465116,20.952380952380953,16.455696202531644,19.10112359550562
"(80, 90]",1,80.43478260869566,81.94444444444444,83.33333333333333,80.0,83.33333333333333,76.92307692307692,84.04255319148936,84.44444444444444,82.17821782178218,80.23255813953489,79.04761904761905,83.54430379746836,80.89887640449439
"(90, 100]",-1,3.4482758620689653,0.0,4.761904761904762,6.25,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,7.142857142857143,6.122448979591836,0.0
"(90, 100]",1,96.55172413793103,100.0,95.23809523809524,93.75,100.0,100.0,100.0,100.0,100.0,97.77777777777777,92.85714285714286,93.87755102040816,100.0
