"('probCut', '1xBet (%)')","('colWin', 'win')",1xBet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
"(0, 10]",-1,84.61538461538461,86.66666666666667,87.5,87.5,85.71428571428571,88.88888888888889,87.5,84.61538461538461
"(0, 10]",1,15.384615384615385,13.333333333333334,12.5,12.5,14.285714285714286,11.11111111111111,12.5,15.384615384615385
"(10, 20]",-1,90.0,85.71428571428571,85.1063829787234,82.92682926829268,87.87878787878788,86.48648648648648,88.63636363636364,89.79591836734694
"(10, 20]",1,10.0,14.285714285714286,14.893617021276595,17.073170731707318,12.121212121212121,13.513513513513514,11.363636363636363,10.204081632653061
"(20, 30]",-1,78.04878048780488,78.57142857142857,77.5,81.08108108108108,77.65957446808511,82.05128205128206,75.67567567567568,75.67567567567568
"(20, 30]",1,21.951219512195124,21.428571428571427,22.5,18.91891891891892,22.340425531914892,17.94871794871795,24.324324324324323,24.324324324324323
"(30, 40]",-1,59.770114942528735,60.176991150442475,61.46788990825688,63.888888888888886,62.71186440677966,63.0,63.492063492063494,63.559322033898304
"(30, 40]",1,40.229885057471265,39.823008849557525,38.53211009174312,36.111111111111114,37.28813559322034,37.0,36.507936507936506,36.440677966101696
"(40, 50]",-1,55.072463768115945,57.32484076433121,56.80473372781065,59.61538461538461,56.95364238410596,61.43790849673203,56.08108108108108,56.95364238410596
"(40, 50]",1,44.927536231884055,42.67515923566879,43.19526627218935,40.38461538461539,43.04635761589404,38.56209150326797,43.91891891891892,43.04635761589404
"(50, 60]",-1,37.58389261744966,41.97530864197531,41.717791411042946,37.57575757575758,42.42424242424242,38.55421686746988,40.13157894736842,39.45578231292517
"(50, 60]",1,62.41610738255034,58.02469135802469,58.282208588957054,62.42424242424242,57.57575757575758,61.44578313253012,59.86842105263158,60.54421768707483
"(60, 70]",-1,38.46153846153846,36.05769230769231,38.288288288288285,40.90909090909091,37.98076923076923,42.7906976744186,40.17857142857143,41.14832535885167
"(60, 70]",1,61.53846153846154,63.94230769230769,61.711711711711715,59.09090909090909,62.01923076923077,57.2093023255814,59.82142857142857,58.85167464114833
"(70, 80]",-1,26.973684210526315,24.15730337078652,23.214285714285715,24.41860465116279,24.33862433862434,25.568181818181817,24.719101123595507,26.041666666666668
"(70, 80]",1,73.02631578947368,75.84269662921348,76.78571428571429,75.5813953488372,75.66137566137566,74.43181818181819,75.28089887640449,73.95833333333333
"(80, 90]",-1,18.51851851851852,16.901408450704224,18.248175182481752,21.768707482993197,21.951219512195124,21.678321678321677,22.307692307692307,20.422535211267604
"(80, 90]",1,81.48148148148148,83.09859154929578,81.75182481751825,78.2312925170068,78.04878048780488,78.32167832167832,77.6923076923077,79.5774647887324
"(90, 100]",-1,8.536585365853659,8.16326530612245,8.403361344537815,7.751937984496124,7.407407407407407,7.638888888888889,7.407407407407407,8.148148148148149
"(90, 100]",1,91.46341463414635,91.83673469387755,91.59663865546219,92.24806201550388,92.5925925925926,92.36111111111111,92.5925925925926,91.85185185185185
